,,,,,TICKERS,,,,,,,,,CLOSING PRICES,,
,,,,,,,,,,,,,,Closing Time: 13:15 pm Chicago Time,,
,,,,,,,,,,,,,,,,
YYYYMMDD,Lead Contract,,PA0,PA1,PA2,PA3,PA4,PA5,,,PA0,PA1,PA2,PA3,PA4,PA5
19940103,PAH94,,PAH94,,,,,,,,125.25,,,,,
19940104,PAH94,,PAH94,,,,,,,,127.8,,,,,
19940105,PAH94,,PAH94,,,,,,,,127,,,,,
19940106,PAH94,,PAH94,,,,,,,,126.4,,,,,
19940107,PAH94,,PAH94,,,,,,,,125.5,,,,,
19940110,PAH94,,PAH94,,,,,,,,123.5,,,,,
19940111,PAH94,,PAH94,,,,,,,,124,,,,,
19940112,PAH94,,PAH94,,,,,,,,123.6,,,,,
19940113,PAH94,,PAH94,,,,,,,,123.8,,,,,
19940114,PAH94,,PAH94,,,,,,,,124.4,,,,,
19940117,PAH94,,PAH94,,,,,,,,125.75,,,,,
19940118,PAH94,,PAH94,,,,,,,,126.25,,,,,
19940120,PAH94,,PAH94,,,,,,,,124.2,,,,,
19940121,PAH94,,PAH94,,,,,,,,123.5,,,,,
19940124,PAH94,,PAH94,,,,,,,,123.75,,,,,
19940125,PAH94,,PAH94,,,,,,,,123.75,,,,,
19940126,PAH94,,PAH94,,,,,,,,124.45,,,,,
19940127,PAH94,,PAH94,,,,,,,,124,,,,,
19940128,PAH94,,PAH94,,,,,,,,123.75,,,,,
19940131,PAH94,,PAH94,,,,,,,,124.9,,,,,
19940201,PAH94,,PAH94,,,,,,,,127.5,,,,,
19940202,PAH94,,PAH94,,,,,,,,128.25,,,,,
19940203,PAH94,,PAH94,,,,,,,,129,,,,,
19940204,PAH94,,PAH94,,,,,,,,130.25,,,,,
19940207,PAH94,,PAH94,,,,,,,,129,,,,,
19940208,PAH94,,PAH94,,,,,,,,131.9,,,,,
19940209,PAH94,,PAH94,,,,,,,,134,,,,,
19940210,PAH94,,PAH94,,,,,,,,134.5,,,,,
19940211,PAH94,,PAH94,,,,,,,,133,,,,,
19940214,PAH94,,PAH94,,,,,,,,134.5,,,,,
19940217,PAH94,,PAH94,,,,,,,,135.75,,,,,
19940218,PAH94,,PAH94,,,,,,,,135,,,,,
19940222,PAH94,,PAH94,,,,,,,,134,,,,,
19940223,PAH94,,PAH94,,,,,,,,133.6,,,,,
19940224,PAM94,,PAM94,,,,,,,,134.25,,,,,
19940225,PAM94,,PAM94,,,,,,,,136.4,,,,,
19940228,PAM94,,PAM94,,,,,,,,136.95,,,,,
19940301,PAM94,,PAM94,,,,,,,,136.1,,,,,
19940302,PAM94,,PAM94,,,,,,,,136.75,,,,,
19940303,PAM94,,PAM94,,,,,,,,130,,,,,
19940304,PAM94,,PAM94,,,,,,,,130.5,,,,,
19940307,PAM94,,PAM94,,,,,,,,131.5,,,,,
19940308,PAM94,,PAM94,,,,,,,,132.5,,,,,
19940309,PAM94,,PAM94,,,,,,,,132.5,,,,,
19940310,PAM94,,PAM94,,,,,,,,133.75,,,,,
