,,,TICKERS,,,,,,,,,CLOSING PRICES,,,
,,,,,,,,,,,,Closing Time: 13:00 pm Chicago time,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
YYYYMMDD,Lead Contract,LH0,LH1,LH2,LH3,LH4,LH5,,,LH0,LH1,LH2,LH3,LH4,LH5
20020304,LHJ02,,,,,,,,,0.5968,,,,,
20020305,LHJ02,,,,,,,,,0.5885,,,,,
20020306,LHJ02,,,,,,,,,0.5798,,,,,
20020307,LHJ02,,,,,,,,,0.5833,,,,,
20020308,LHJ02,,,,,,,,,0.5813,,,,,
20020311,LHJ02,,,,,,,,,0.576,,,,,
20020312,LHJ02,,,,,,,,,0.5723,,,,,
20020313,LHJ02,,,,,,,,,0.5728,,,,,
20020314,LHJ02,,,,,,,,,0.5605,,,,,
20020315,LHJ02,,,,,,,,,0.5475,,,,,
20020318,LHJ02,,,,,,,,,0.5385,,,,,
20020319,LHJ02,,,,,,,,,0.5255,,,,,
20020320,LHM02,,,,,,,,,0.6283,,,,,
20020321,LHM02,,,,,,,,,0.6275,,,,,
20020322,LHM02,,,,,,,,,0.6198,,,,,
20020325,LHM02,,,,,,,,,0.624,,,,,
20020326,LHM02,,,,,,,,,0.6118,,,,,
20020327,LHM02,,,,,,,,,0.6083,,,,,
20020328,LHM02,,,,,,,,,0.605,,,,,
20020401,LHM02,,,,,,,,,0.6075,,,,,
20020402,LHM02,,,,,,,,,0.6053,,,,,
20020403,LHM02,,,,,,,,,0.5978,,,,,
20020404,LHM02,,,,,,,,,0.5778,,,,,
20020405,LHM02,,,,,,,,,0.5685,,,,,
20020408,LHM02,,,,,,,,,0.5538,,,,,
20020409,LHM02,,,,,,,,,0.5588,,,,,
20020412,LHM02,,,,,,,,,0.5285,,,,,
20020415,LHM02,,,,,,,,,0.543,,,,,
20020416,LHM02,,,,,,,,,0.5463,,,,,
20020417,LHM02,,,,,,,,,0.5598,,,,,
20020418,LHM02,,,,,,,,,0.5645,,,,,
20020419,LHM02,,,,,,,,,0.569,,,,,
20020422,LHM02,,,,,,,,,0.555,,,,,
20020423,LHM02,,,,,,,,,0.535,,,,,
20020424,LHM02,,,,,,,,,0.5383,,,,,
20020425,LHM02,,,,,,,,,0.5418,,,,,
